"1,000kg"	数値表現-寸法表現-重量
1602年	時間表現-時間-日付表現
1603年	時間表現-時間-日付表現
1604年	時間表現-時間-日付表現
1607年	時間表現-時間-日付表現
1608年	時間表現-時間-日付表現
160年	時間表現-時間-日付表現
1611年	時間表現-時間-日付表現
1612年	時間表現-時間-日付表現
1614年	時間表現-時間-日付表現
1615年	時間表現-時間-日付表現
1619年	時間表現-時間-日付表現
161年	時間表現-時間-日付表現
1624年	時間表現-時間-日付表現
1629年	時間表現-時間-日付表現
1632年	時間表現-時間-日付表現
1634年	時間表現-時間-日付表現
1636年	時間表現-時間-日付表現
1637年	時間表現-時間-日付表現
1638年	時間表現-時間-日付表現
1639年	時間表現-時間-日付表現
1640年	時間表現-時間-日付表現
1641年	時間表現-時間-日付表現
1642年	時間表現-時間-日付表現
1645年	時間表現-時間-日付表現
1646年	時間表現-時間-日付表現
1650年	時間表現-時間-日付表現
1654年	時間表現-時間-日付表現
1656年	時間表現-時間-日付表現
1664年	時間表現-時間-日付表現
1665年	時間表現-時間-日付表現
1666年	時間表現-時間-日付表現
1667年	時間表現-時間-日付表現
1669年	時間表現-時間-日付表現
1674年	時間表現-時間-日付表現
1677年	時間表現-時間-日付表現
1678年	時間表現-時間-日付表現
1684年	時間表現-時間-日付表現
1687年	時間表現-時間-日付表現
1689年	時間表現-時間-日付表現
1690年	時間表現-時間-日付表現
1692年	時間表現-時間-日付表現
1694年	時間表現-時間-日付表現
169年	時間表現-時間-日付表現
16世紀	時間表現-時間-日付表現
16号一宮線	名前-施設名-路線名-道路名
17	時間表現-時間-日付表現
1700年	時間表現-時間-日付表現
1700年代	時間表現-時間-日付表現
1703年	時間表現-時間-日付表現
1704年	時間表現-時間-日付表現
1705年	時間表現-時間-日付表現
1706年	時間表現-時間-日付表現
1707年	時間表現-時間-日付表現
1709年	時間表現-時間-日付表現
170年	時間表現-時間-日付表現
1712年	時間表現-時間-日付表現
1713年	時間表現-時間-日付表現
1714年	時間表現-時間-日付表現
1716年	時間表現-時間-日付表現
1719年	時間表現-時間-日付表現
1720年	時間表現-時間-日付表現
1722年	時間表現-時間-日付表現
1723年	時間表現-時間-日付表現
1724年	時間表現-時間-日付表現
1725年	時間表現-時間-日付表現
1726年	時間表現-時間-日付表現
1731年	時間表現-時間-日付表現
1733年	時間表現-時間-日付表現
1734年	時間表現-時間-日付表現
1735年	時間表現-時間-日付表現
1736年	時間表現-時間-日付表現
1738年	時間表現-時間-日付表現
1744年	時間表現-時間-日付表現
1746年	時間表現-時間-日付表現
1748年	時間表現-時間-日付表現
1751年	時間表現-時間-日付表現
1755年	時間表現-時間-日付表現
1758年	時間表現-時間-日付表現
175R	名前-組織名-組織名_その他
1761年	時間表現-時間-日付表現
1762年	時間表現-時間-日付表現
1764年	時間表現-時間-日付表現
1766年	時間表現-時間-日付表現
1768年	時間表現-時間-日付表現
1769年	時間表現-時間-日付表現
1770年	時間表現-時間-日付表現
1772年	時間表現-時間-日付表現
1774年	時間表現-時間-日付表現
1775年	時間表現-時間-日付表現
1776年	時間表現-時間-日付表現
1777年	時間表現-時間-日付表現
1778年	時間表現-時間-日付表現
1779年	時間表現-時間-日付表現
1780年	時間表現-時間-日付表現
1781年	時間表現-時間-日付表現
1782年	時間表現-時間-日付表現
1783年	時間表現-時間-日付表現
1784年	時間表現-時間-日付表現
1785年	時間表現-時間-日付表現
1786年	時間表現-時間-日付表現
1787年	時間表現-時間-日付表現
1788年	時間表現-時間-日付表現
1789年	時間表現-時間-日付表現
1790年	時間表現-時間-日付表現
1791年	時間表現-時間-日付表現
1792年	時間表現-時間-日付表現
1793年	時間表現-時間-日付表現
1794年	時間表現-時間-日付表現
1795年	時間表現-時間-日付表現
1796年	時間表現-時間-日付表現
1798年	時間表現-時間-日付表現
1799年	時間表現-時間-日付表現
17世紀	時間表現-時間-日付表現
17歳のカルテ	名前-製品名-芸術名-映画名
1800年	時間表現-時間-日付表現
1801年	時間表現-時間-日付表現
1802年	時間表現-時間-日付表現
1803年	時間表現-時間-日付表現
1804年	時間表現-時間-日付表現
1805年	時間表現-時間-日付表現
1806年	時間表現-時間-日付表現
1807年	時間表現-時間-日付表現
1808年	時間表現-時間-日付表現
1809年	時間表現-時間-日付表現
180年	時間表現-時間-日付表現
1810年	時間表現-時間-日付表現
1811年	時間表現-時間-日付表現
1812年	時間表現-時間-日付表現
1815年	時間表現-時間-日付表現
1816年	時間表現-時間-日付表現
1817年	時間表現-時間-日付表現
1818年	時間表現-時間-日付表現
1819年	時間表現-時間-日付表現
1821年	時間表現-時間-日付表現
1822年	時間表現-時間-日付表現
1823年	時間表現-時間-日付表現
1824年	時間表現-時間-日付表現
1825年	時間表現-時間-日付表現
1826年	時間表現-時間-日付表現
1827年	時間表現-時間-日付表現
1828年	時間表現-時間-日付表現
1830年	時間表現-時間-日付表現
1831年	時間表現-時間-日付表現
1832年	時間表現-時間-日付表現
1833年	時間表現-時間-日付表現
1834年	時間表現-時間-日付表現
1835年	時間表現-時間-日付表現
1836年	時間表現-時間-日付表現
1837年	時間表現-時間-日付表現
1838年	時間表現-時間-日付表現
1839年	時間表現-時間-日付表現
1840年	時間表現-時間-日付表現
1841年	時間表現-時間-日付表現
1843年	時間表現-時間-日付表現
1844年	時間表現-時間-日付表現
1845年	時間表現-時間-日付表現
1846年	時間表現-時間-日付表現
1848年	時間表現-時間-日付表現
1849年	時間表現-時間-日付表現
1850年	時間表現-時間-日付表現
1851年	時間表現-時間-日付表現
1852年	時間表現-時間-日付表現
1853年	時間表現-時間-日付表現
1854年	時間表現-時間-日付表現
1855年	時間表現-時間-日付表現
1856年	時間表現-時間-日付表現
1857年	時間表現-時間-日付表現
1858年	時間表現-時間-日付表現
1859年	時間表現-時間-日付表現
1860年	時間表現-時間-日付表現
1861年	時間表現-時間-日付表現
1862年	時間表現-時間-日付表現
1863年	時間表現-時間-日付表現
1864年	時間表現-時間-日付表現
1865年	時間表現-時間-日付表現
1866年	時間表現-時間-日付表現
1867年	時間表現-時間-日付表現
1868年	時間表現-時間-日付表現
1869年	時間表現-時間-日付表現
1870年	時間表現-時間-日付表現
1871年	時間表現-時間-日付表現
1872年	時間表現-時間-日付表現
1873年	時間表現-時間-日付表現
1874年	時間表現-時間-日付表現
1875年	時間表現-時間-日付表現
1876年	時間表現-時間-日付表現
1877年	時間表現-時間-日付表現
1878年	時間表現-時間-日付表現
1879年	時間表現-時間-日付表現
1880年	時間表現-時間-日付表現
1881年	時間表現-時間-日付表現
1882年	時間表現-時間-日付表現
1883年	時間表現-時間-日付表現
1884年	時間表現-時間-日付表現
1885年	時間表現-時間-日付表現
1886年	時間表現-時間-日付表現
1887年	時間表現-時間-日付表現
1888年	時間表現-時間-日付表現
1889年	時間表現-時間-日付表現
1890年	時間表現-時間-日付表現
1891年	時間表現-時間-日付表現
1892年	時間表現-時間-日付表現
1893年	時間表現-時間-日付表現
1894年	時間表現-時間-日付表現
1895年	時間表現-時間-日付表現
1896年	時間表現-時間-日付表現
1897年	時間表現-時間-日付表現
1898年	時間表現-時間-日付表現
1899年	時間表現-時間-日付表現
18世紀	時間表現-時間-日付表現
19	時間表現-時間-日付表現
19 (音楽グループ) 	名前-組織名-組織名_その他
1900年	時間表現-時間-日付表現
1900年代	時間表現-時間-日付表現
1901年	時間表現-時間-日付表現
1902年	時間表現-時間-日付表現
1903年	時間表現-時間-日付表現
1904年	時間表現-時間-日付表現
1905年	時間表現-時間-日付表現
1906年	時間表現-時間-日付表現
1907年	時間表現-時間-日付表現
1908年	時間表現-時間-日付表現
1909年	時間表現-時間-日付表現
190年	時間表現-時間-日付表現
1910年	時間表現-時間-日付表現
1911年	時間表現-時間-日付表現
1912年	時間表現-時間-日付表現
1913年	時間表現-時間-日付表現
1914年	時間表現-時間-日付表現
1915年	時間表現-時間-日付表現
1916年	時間表現-時間-日付表現
1917年	時間表現-時間-日付表現
1918年	時間表現-時間-日付表現
1919年	時間表現-時間-日付表現
1920年	時間表現-時間-日付表現
1920年代	時間表現-時間-日付表現
1921年	時間表現-時間-日付表現
1922年	時間表現-時間-日付表現
1923年	時間表現-時間-日付表現
1924年	時間表現-時間-日付表現
1925年	時間表現-時間-日付表現
1926年	時間表現-時間-日付表現
1927年	時間表現-時間-日付表現
1928年	時間表現-時間-日付表現
1929年	時間表現-時間-日付表現
1930年	時間表現-時間-日付表現
1930年代	時間表現-時間-日付表現
1931年	時間表現-時間-日付表現
1932年	時間表現-時間-日付表現
1933年	時間表現-時間-日付表現
1934年	時間表現-時間-日付表現
1935年	時間表現-時間-日付表現
1936年	時間表現-時間-日付表現
1937年	時間表現-時間-日付表現
1938年	時間表現-時間-日付表現
1939年	時間表現-時間-日付表現
193年	時間表現-時間-日付表現
1940年	時間表現-時間-日付表現
1941年	時間表現-時間-日付表現
1942年	時間表現-時間-日付表現
1943年	時間表現-時間-日付表現
1944年	時間表現-時間-日付表現
1945年	時間表現-時間-日付表現
1946年	時間表現-時間-日付表現
1947年	時間表現-時間-日付表現
1948年	時間表現-時間-日付表現
1949年	時間表現-時間-日付表現
1950年	時間表現-時間-日付表現
1950年代	時間表現-時間-日付表現
1951年	時間表現-時間-日付表現
1952年	時間表現-時間-日付表現
1953年	時間表現-時間-日付表現
1954年	時間表現-時間-日付表現
1955年	時間表現-時間-日付表現
1956年	時間表現-時間-日付表現
1957年	時間表現-時間-日付表現
1958年	時間表現-時間-日付表現
1959年	時間表現-時間-日付表現
1960年	時間表現-時間-日付表現
1960年代	時間表現-時間-日付表現
1961年	時間表現-時間-日付表現
1962年	時間表現-時間-日付表現
1963年	時間表現-時間-日付表現
1964年	時間表現-時間-日付表現
1965年	時間表現-時間-日付表現
1966年	時間表現-時間-日付表現
1967年	時間表現-時間-日付表現
1968年	時間表現-時間-日付表現
1969年	時間表現-時間-日付表現
1970年	時間表現-時間-日付表現
1970年代	時間表現-時間-日付表現
1971年	時間表現-時間-日付表現
1972年	時間表現-時間-日付表現
1973年	時間表現-時間-日付表現
1974年	時間表現-時間-日付表現
1975年	時間表現-時間-日付表現
1976年	時間表現-時間-日付表現
1977年	時間表現-時間-日付表現
1978年	時間表現-時間-日付表現
1979年	時間表現-時間-日付表現
1980年	時間表現-時間-日付表現
1980年代	時間表現-時間-日付表現
1981年	時間表現-時間-日付表現
1982年	時間表現-時間-日付表現
1983年	時間表現-時間-日付表現
1984年	時間表現-時間-日付表現
1985年	時間表現-時間-日付表現
1986年	時間表現-時間-日付表現
1987年	時間表現-時間-日付表現
1988年	時間表現-時間-日付表現
1989年	時間表現-時間-日付表現
1990年	時間表現-時間-日付表現
1990年代	時間表現-時間-日付表現
1991年	時間表現-時間-日付表現
1992年	時間表現-時間-日付表現
1993年	時間表現-時間-日付表現
1994年	時間表現-時間-日付表現
1995年	時間表現-時間-日付表現
1996年	時間表現-時間-日付表現
1997 REINCARNATION	名前-イベント名-催し物名-催し物名_その他
1997年	時間表現-時間-日付表現
1998年	時間表現-時間-日付表現
1999 GRAND CROSS TOUR	名前-イベント名-催し物名-催し物名_その他
1999年	時間表現-時間-日付表現
19世紀	時間表現-時間-日付表現
19年	時間表現-時間-日付表現
1NZ-FE	名前-製品名-製品名_その他
1セント硬貨	数値表現-金額表現
1ユーロ硬貨	数値表現-金額表現
1億人の大質問!?笑ってコラえて!	名前-製品名-芸術名-番組名
1年	時間表現-期間-年期間
1月	時間表現-時間-日付表現
1月 (旧暦)	時間表現-時間-日付表現
1月10日	時間表現-時間-日付表現
1月11日	時間表現-時間-日付表現
1月12日	時間表現-時間-日付表現
1月13日	時間表現-時間-日付表現
1月14日	時間表現-時間-日付表現
1月16日	時間表現-時間-日付表現
1月17日	時間表現-時間-日付表現
1月18日	時間表現-時間-日付表現
1月19日	時間表現-時間-日付表現
1月1日	時間表現-時間-日付表現
1月20日	時間表現-時間-日付表現
1月21日	時間表現-時間-日付表現
1月22日	時間表現-時間-日付表現
1月23日	時間表現-時間-日付表現
1月24日	時間表現-時間-日付表現
1月24日 (旧暦)	時間表現-時間-日付表現
1月25日	時間表現-時間-日付表現
1月25日 (旧暦)	時間表現-時間-日付表現
1月26日	時間表現-時間-日付表現
1月27日	時間表現-時間-日付表現
1月28日	時間表現-時間-日付表現
1月29日	時間表現-時間-日付表現
1月29日 (旧暦)	時間表現-時間-日付表現
1月2日	時間表現-時間-日付表現
1月30日	時間表現-時間-日付表現
1月31日	時間表現-時間-日付表現
1月3日	時間表現-時間-日付表現
1月4日	時間表現-時間-日付表現
1月5日	時間表現-時間-日付表現
1月6日	時間表現-時間-日付表現
1月7日	時間表現-時間-日付表現
1月8日	時間表現-時間-日付表現
1月9日	時間表現-時間-日付表現
1球の緊張感 THE LIVE	名前-製品名-芸術名-番組名
2	時間表現-時間-日付表現
2.26事件	名前-イベント名-事故事件名
20	時間表現-時間-日付表現
2000年	時間表現-時間-日付表現
2001年	時間表現-時間-日付表現
2001年宇宙の旅	名前-製品名-芸術名-映画名
2001年音楽の旅	名前-製品名-芸術名-番組名
2002 Winter Olympics	名前-イベント名-催し物名-大会名
2002年	時間表現-時間-日付表現
2003年	時間表現-時間-日付表現
2004	時間表現-時間-日付表現
2004年	時間表現-時間-日付表現
2004年アメリカ合衆国大統領選挙	名前-イベント名-イベント名_その他
2005年	時間表現-時間-日付表現
2005年日本国際博覧会	名前-イベント名-催し物名-催し物名_その他
2006年	時間表現-時間-日付表現
2007年	時間表現-時間-日付表現
2008年	時間表現-時間-日付表現
2009年	時間表現-時間-日付表現
2010年	時間表現-時間-日付表現
2012年	時間表現-時間-日付表現
2034年	時間表現-時間-日付表現
206	名前-製品名-乗り物名-車名
20セント硬貨	数値表現-金額表現
20世紀	時間表現-時間-日付表現
20世紀美術	名前-製品名-芸術名-芸術名_その他
21	時間表現-時間-日付表現
210.188.67.201	名前-識別番号
2112年ドラえもん誕生	名前-製品名-芸術名-映画名
211年	時間表現-時間-日付表現
217年	時間表現-時間-日付表現
218.46.67.204	名前-識別番号
218年	時間表現-時間-日付表現
21エモン	名前-製品名-芸術名-文学名
22	時間表現-時間-日付表現
220年	時間表現-時間-日付表現
222年	時間表現-時間-日付表現
223年	時間表現-時間-日付表現
226年	時間表現-時間-日付表現
23	時間表現-時間-日付表現
230年	時間表現-時間-日付表現
235年	時間表現-時間-日付表現
238年	時間表現-時間-日付表現
24	時間表現-時間-日付表現
24 (テレビドラマ)	名前-製品名-芸術名-番組名
24 TWENTY FOUR	名前-製品名-芸術名-番組名
244年	時間表現-時間-日付表現
249年	時間表現-時間-日付表現
24時間テレビ	名前-製品名-芸術名-番組名
24時間テレビ 「愛は地球を救う」	名前-製品名-芸術名-番組名
24時間テレビ「愛は地球を救う」	名前-製品名-芸術名-番組名
25	時間表現-時間-日付表現
250px	数値表現-個数-個数_その他
251年	時間表現-時間-日付表現
253年	時間表現-時間-日付表現
259号	名前-施設名-路線名-道路名
26	時間表現-時間-日付表現
260年	時間表現-時間-日付表現
268年	時間表現-時間-日付表現
27	時間表現-時間-日付表現
270年	時間表現-時間-日付表現
275年	時間表現-時間-日付表現
276年	時間表現-時間-日付表現
27時間テレビ	名前-製品名-芸術名-番組名
282年	時間表現-時間-日付表現
283号	名前-施設名-路線名-道路名
283年	時間表現-時間-日付表現
284年	時間表現-時間-日付表現
287年	時間表現-時間-日付表現
29	時間表現-時間-日付表現
291ギャラリー	名前-施設名-GOE-GOE_その他
293年	時間表現-時間-日付表現
2ちゃんねる	名前-製品名-芸術名-芸術名_その他
2セント硬貨	数値表現-金額表現
2ユーロ硬貨	数値表現-金額表現
2世紀	時間表現-時間-日付表現
2日	時間表現-時間-日付表現
2時のホント	名前-製品名-芸術名-番組名
2時ワクッ!	名前-製品名-芸術名-番組名
2月	時間表現-時間-日付表現
2月10日	時間表現-時間-日付表現
2月11日	時間表現-時間-日付表現
